Name,Birth,Succession,Reign,Time,Deaths
" Constantine III 
 IMPERATOR CAESAR FLAVIVS CLAVDIVS  CONSTANTINVS  AVGVSTVS with 
 Constans II 
 IMPERATOR CAESAR FLAVIVS  CONSTANS  AVGVSTVS 
 
"," ?
"," Usurper who declared himself emperor in the west in 407, recognized as co-emperor by  Honorius  in 409. Elevated his son  Constans II  to co-emperor in 409, who was not recognized by Honorius. Neither recognized by the Eastern Empire.
"," 407/409 - August or September 411
"," 2 years
"," August or September 411 (aged ?) Executed by  Constantius III 
"
" Constantius III IMPERATOR CAESAR FLAVIVS  CONSTANTIVS  AVGVSTVS 
"," ?,  Naissus ,  Moesia Superior 
"," Married to  Theodosius I 's daughter  Galla Placidia , elevated to co-Augustus for the west by  Honorius ; not recognized by the  Eastern Empire 
"," February 8, 421 – September 2, 421
"," 6 months and 25 days
"," September 2, 421 (aged ?) Natural causes
"
" Joannes 
 IMPERATOR CAESAR  IOHANNES  AVGVSTVS 
 
"," ?
"," A senior civil servant under  Honorius , proclaimed emperor by  Castinus ; not recognized by the  Eastern Empire 
"," August 27, 423 – May 425
"," 2 years
"," June or July 425 (aged ?) Defeated in battle by  Theodosius II  and  Valentinian III , captured and executed
"
" Valentinian III IMPERATOR CAESAR FLAVIVS PLACIDIVS  VALENTINIANVS  AVGVSTVS 
"," July 2, 419,  Ravenna ,  Italia 
"," Son of  Constantius III , appointed Caesar for the west by  Theodosius II  after the death of  Honorius , in opposition to the regime of  Joannes ; became Augustus for the west after the defeat of Joannes
"," October 23, 424 – March 16, 455
"," 30 years, 4 months and 21 days
"," March 16, 455 (aged 35) Assassinated, possibly at the behest of  Petronius Maximus 
"
" Petronius Maximus IMPERATOR CAESAR FLAVIVS ANICIVS  PETRONIVS MAXIMVS  AVGVSTVS 
"," c. 396
"," Son-in-law of Theodosius II, proclaimed himself emperor with the support of the army, after the death of  Valentinian III . Not recognized by the  Eastern Empire . He appointed his son  Palladius  as  caesar .
"," March 17, 455 – May 31, 455
"," 2 months and 14 days
"," May 31, 455 (aged 58/59) Murdered, probably stoned to death by the Roman mob
"
" Avitus IMPERATOR CAESAR MARCVS MAECILIVS FLAVIVS EPARCHIVS  AVITVS  AVGVSTVS 
"," c. 385
"," Magister militum  under  Petronius Maximus , proclaimed emperor by the  Visigoth  king  Theoderic II  after Petronius's death. Not recognized by the  Eastern Empire .
"," July 9, 455 – October 17, 456
"," 1 year, 3 months and 8 days
"," after 17 October 456 (aged 71) Deposed by his  Magister militum ,  Ricimer ; became bishop of  Placentia ; murdered at some point afterwards
"
" Majorian IMPERATOR CAESAR FLAVIVS IVLIVS VALERIVS  MAIORIANVS  AVGVSTVS 
"," November 420
"," Proclaimed emperor by his troops. Recognized by the  Eastern Empire  at the behest of  Ricimer .
"," April 457 – August 2, 461
"," 4 years
"," August 7, 461 (aged 40) Deposed and beheaded on the orders of  Ricimer .
"
" Libius Severus IMPERATOR CAESAR FLAVIVS  LIBIVS SEVERVS  SERPENTIVS AVGVSTVS 
"," ?,  Lucania ,  Italia 
"," Appointed emperor by  Ricimer . Not recognized by the  Eastern Empire .
"," November 461 – August 465
"," 4 years
"," August 465 (aged 45) Probably poisoned by Ricimer
"
" Anthemius IMPERATOR CAESAR PROCOPIVS  ANTHEMIVS  AVGVSTVS 
"," c. 420
"," Son-in-law of Marcian, appointed emperor by  Leo I , with the consent of  Ricimer .
"," April 12, 467 – July 11, 472
"," 5 years, 2 months and 29 days
"," July 11, 472 (aged 52) Executed by Ricimer or  Gundobad  (Ricimer's nephew).
"
" Olybrius IMPERATOR CAESAR ANICIVS  OLYBRIVS  AVGVSTVS 
"," c. 431
"," Son-in-law of  Valentinian III ; appointed emperor by  Ricimer . Not recognized by the  Eastern Empire .
"," July 11, 472 – November 2, 472
"," 3 months and 22 days
"," November 2, 472 (aged 41) Natural causes
"
" Glycerius IMPERATOR CAESAR FLAVIVS  GLYCERIVS  AVGVSTVS 
"," ?
"," Appointed emperor by  Gundobad  ( Ricimer 's successor). Not recognized by the  Eastern Empire .
"," March 473 – June 474
"," 1 year
"," after 480 (aged ?) Deposed by  Julius Nepos , became Bishop of  Salona , time and manner of death unknown
"
" Julius Nepos IMPERATOR CAESAR FLAVIVS  IVLIVS NEPOS  AVGVSTVS 
"," c. 430
"," Nephew-in-law of the eastern emperor  Leo I  (and nephew of  Marcellinus ) appointed emperor in opposition to  Glycerius 
"," June 474 – August 28, 475 (in Italy); – spring 480 (in Gaul and Dalmatia)
"," 1 year/6 years
"," 480 (aged 50) Deposed in Italy by  Orestes , ruled in balance of Western Empire until assassination in 480. Maintained as figurehead in Italy by  Odoacer  to his death in 480.
"
" Romulus Augustulus  IMPERATOR CAESAR FLAVIVS  ROMVLVS AVGVSTVS 
"," c. 460 [b] 
"," Appointed by his father,  Orestes . Listed as an emperor by historical convention. His rule never extended beyond portions of the  Italian peninsula . Not recognized by Eastern Emperor  Zeno .
"," October 31, 475 – September 4, 476 (in Italy)
"," 10 months and 4 days
"," Unknown. Deposed by  Odoacer , who then ruled in the name of  Julius Nepos  until the latter's death in 480, which formally ended the separate Western Empire; most likely lived out his life in obscurity on a private villa.
"
" Theodosius I IMPERATOR CAESAR FLAVIVS  THEODOSIVS  AVGVSTVS 
"," January 11, 347,  Cauca  or  Italica ,  Hispania 
"," Son-in-law of Valentinian I, appointed as Augustus for the east by  Gratian  after the death of  Valens ; became sole senior Augustus after death of  Valentinian II 
"," January 19, 379 – January 17, 395
"," 16 years and 16 days
"," January 17, 395 (aged 48) Natural causes
"
" Arcadius IMPERATOR CAESAR FLAVIVS  ARCADIVS  AVGVSTVS 
"," c. 377,  Hispania 
"," Son of  Theodosius I ; appointed as junior Augustus for the east by Theodosius in January 383; became senior Augustus for the east after his father's death
"," January 17, 395 – May 1, 408
"," 13 years
"," May 1, 408 (aged 31) Natural causes
"
" Theodosius II IMPERATOR CAESAR FLAVIVS  THEODOSIVS  IVNIOR AVGVSTVS 
"," April 10, 401,  Constantinople 
"," Son of  Arcadius ; appointed as junior Augustus for the east by Arcadius in 402; became senior Augustus for the east after his father's death
"," January 402 – July 28, 450
"," 48 years
"," July 28, 450 (aged 49) Injuries suffered during a hunting accident
"
" Marcian IMPERATOR CAESAR FLAVIVS  MARCIANVS  AVGVSTVS 
"," 396,  Thrace  or  Illyria 
"," Nominated as successor (and husband) by  Pulcheria , ruled alongside her 450-453 and later alone
"," November 25, 450 – January 25, 457
"," 7 years
"," January 457 (aged 65) Gout 
"
" Leo I the Thracian IMPERATOR CAESAR FLAVIVS VALERIVS  LEO  AVGVSTVS 
"," c.  400,  Dacia 
"," Chosen by the army
"," 7 February 457 – 18 January 474
"," 17 years
"," 18 January 474 (aged 73) Dysentery 
"
" Leo II IMPERATOR CAESAR FLAVIVS  LEO  AVGVSTVS 
"," c.  467, Constantinople
"," Grandson of Leo I
"," 18 January – 17 November 474
"," 9 months
"," 17 November 474 (aged 7) Cause unknown, possibly poisoned
"
" Zeno IMPERATOR CAESAR FLAVIVS  ZENO  AVGVSTVS 
"," c.  425,  Isauria 
"," Named co-emperor by his son Leo II on 9 February 474.
"," 17 November 474 – 9 April 491
"," 17 years
"," 9 April 491 (aged 66) Dysentery  or  epilepsy 
"
" Basiliscus IMPERATOR CAESAR FLAVIVS  BASILISCVS  AVGVSTVS 
 
 with 
 Marcus 
 IMPERATOR CAESAR FLAVIVS  MARCVS  AVGVSTVS 
 
"," ?
"," Seized throne from Zeno, Basiliscus appointed his son Marcus co-emperor at some point in 475.
"," 9 January 475 – August 476
"," 1 year, 7 months
"," 476/477
 Starved to death in Limnae (in  Cappadocia ) by Zeno
 
"
" Anastasius I Dicorus IMPERATOR CAESAR FLAVIVS  ANASTASIVS  AVGVSTVS 
"," c.  430,  Dyrrhachium 
"," Son-in-law of Leo I
"," 11 April 491 – 9 July 518
"," 27 years
"," 9 July 518 (aged 87) Natural causes
"
" Justin I   IMPERATOR CAESAR FLAVIVS  IVSTINVS  AVGVSTVS 
"," c.  450 at Bederiana ( Justiniana Prima ),  Dardania 
"," Elected by army
"," July 518 – 1 August 527
"," 9 years
"," 1 August 527 (aged 77) Natural causes
"
" Justinian I   IMPERATOR CAESAR FLAVIVS PETRVS SABBATIVS  IVSTINIANVS  AVGVSTVS 
"," c.  482 at  Tauresium  (Taor),  Dardania 
"," Nephew of Justin I
"," 1 August 527 – 13/14 November 565
"," 38 years
"," 13/14 November 565 (aged 83) Natural causes
"
" Justin II   IMPERATOR CAESAR FLAVIVS  IVSTINVS  IVNIOR AVGVSTVS 
"," c.  520
"," Nephew of Justinian I
"," 14 November 565 – 5 October 578
"," 13 years
"," 5 October 578 (aged 58) Natural causes, after insanity
"
" Tiberius II Constantine 
 IMPERATOR CAESAR FLAVIVS  TIBERIVS CONSTANTINVS  AVGVSTVS 
 
"," c.  535
"," Adopted son of Justin II, regent from 574
"," 5 October 578 – 14 August 582
"," 3 years, 10 months
"," 14 August 582 (aged 62) Natural causes
"
" Maurice IMPERATOR CAESAR FLAVIVS  MAURICIVS  TIBERIVS AVGVSTVS 
 
 with 
 Theodosius 
 IMPERATOR CAESAR FLAVIVS  THEODOSIVS  AVGVSTVS 
 
"," 539 at  Arabissus ,  Cappadocia 
"," Son-in-law of Tiberius II, appointed his son Theodosius (born in August 4 583/585) co-emperor in 590
"," 14 August 582 – 22 November 602
"," 20 years
"," 27 November 602 (aged 63) Executed, Theodosius executed a few days later by supporters of Phocas
"
" Phocas IMPERATOR CAESAR FLAVIVS  PHOCAS  AVGVSTVS 
"," ?
"," Seized throne
"," 23 November 602 – 4 October 610
"," 8 years
"," 5 October 610 Executed
"
" Heraclius (Φλάβιος Ἡράκλειος Αὔγουστος) IMPERATOR CAESAR FLAVIVS  HERACLIVS  AVGVSTVS 
"," c.  575,  Cappadocia 
"," Revolt
"," 5 October 610 – 11 February 641
"," 30 years
"," 11 February, 641 (aged 65 or 66) Natural causes
"
" Constantine III (Ἡράκλειος νέος Κωνσταντῖνος Αὔγουστος) IMPERATOR CAESAR HERACLIVS NOVVS  CONSTANTINVS  AVGVSTVS 
"," 3 May 612, Constantinople
"," Son of Heraclius
"," 11 February – 24/26 May 641
"," 3 months
"," 24/26 May 641 (aged 28) Tuberculosis
"
" Heraklonas (Φλάβιος Κωνσταντῖνος Ἡράκλειος Αὔγουστος) IMPERATOR CAESAR FLAVIVS CONSTANTINVS  HERACLIVS  AVGVSTVS 
 with 
 Tiberius (Φλάβιος Τιβέριος Αὔγουστος) FLAVIVS  TIBERIVS  AVGVSTVS 
 and 
 Martinus (Φλάβιος Μαρτίνος Αὔγουστος) FLAVIVS  MARTINVS  AVGVSTVS 
 
"," 3 May 626, Constantinople
"," Son of Heraclius; his brothers Tiberius and Martinus briefly served as co-emperors.
"," 11 February 641 – September 641
"," 7 months
"," unknown, but probably before 642
"
" Constans II (Φλάβιος Κωνσταντῖνος Αὔγουστος) IMPERATOR CAESAR FLAVIVS  CONSTANTINVS  AVGVSTVS 
"," 7 November 630
"," Son of Constantine III. succeeded his uncle Heraklonas after he was deposed as emperor.
"," September 641 – 15 September 668
"," 27 years
"," 15 September 668 (aged 37) Assassinated
"
" Constantine IV (Φλάβιος Κωνσταντῖνος Αὔγουστος) IMPERATOR CAESAR FLAVIVS  CONSTANTINVS  AVGVSTVS 
 with 
 Heraclius (Φλάβιος Ἡράκλειος Αὔγουστος) FLAVIVS  HERACLIVS  AVGVSTVS 
 and 
 Tiberius (Φλάβιος Τιβέριος Αὔγουστος) FLAVIVS  TIBERIVS  AVGVSTVS 
 
"," 652, Constantinople
"," Oldest son of Constans II, co-emperor since 654. His brothers Heraclius and Tiberius, co-emperors since 659, served as co-emperors until they were mutilated and deposed by Constantine in 681.
"," 15 September 668 – 14 September 685
 659 – 681 (Heraclius & Tiberius) 
 
"," 17 years
 22 years (Heraclius & Tiberius) 
 
"," 14 September 685 (aged 33) Dysentery
"
" Justinian II (Φλάβιος Ἰουστινιανὸς Αὔγουστος) FLAVIVS  IVSTINIANVS  AVGVSTVS 
"," 668 or 669, Constantinople
"," Son of Constantine IV, co-emperor since 681
"," 14 September 685–695
"," 10 years  (1st reign) 
"," 11 December 711 (aged 42) Killed by the army
"
" Leontios (Λεόντιος Αὔγουστος) LEONTIVS  AVGVSTVS [12] 
"," Isauria 
"," Revolt
"," 695–698
"," 3 years
"," Executed in February 706
"
" Tiberios III Apsimaros (Τιβέριος Αὔγουστος) TIBERIVS  AVGVSTVS 
"," Pamphylia 
"," Revolt
"," 698–705
"," 7 years
"," Executed in February 706
"
" Justinian II  (Φλάβιος Ἰουστινιανὸς Αὔγουστος) FLAVIVS  IVSTINIANVS  AVGVSTVS 
 (second reign) 
 with 
 Tiberius (Τιβέριος Αὔγουστος) TIBERIVS  AVGVSTVS [13] 
 
"," 668 or 669, Constantinople
"," Returned on the throne with  Bulgar  support. Named son  Tiberius  as co-emperor in 706.
"," August 705 – December 711
"," 6 years  (2nd reign) 
"," 11 December 711 (aged 42) Both killed by the army
"
" Philippikos Bardanes (Φιλιππικὸς Αὔγουστος) FILEPICVS  AVGVSTVS [14] 
"," Pergamon 
"," Revolt
"," December 711 – 3 June 713
"," 1 year, 6 months
"," 713
"
" Anastasios II (Αρτέμιος Ἀναστάσιος Αὔγουστος) ARTEMIVS  ANASTASIVS  AVGVSTVS [15] 
"," ?
"," Bureaucrat and secretary under Philippikos, he was raised to the purple by the soldiers
"," June 713 – November 715
"," 2 years, 5 months
"," 718, during attempt to regain the throne
"
" Theodosius III (Θεοδόσιος Αὔγουστος) THEODOSIVS  AVGVSTVS [16] 
"," ?
"," Chosen by troops
"," May 715 – 25 March 717
"," 2 years
"," Unknown. Became a monk
"
" Leo III the Isaurian (Λέων)
"," c.  685,  Germanikeia ,  Commagene 
"," Rebellion
"," 25 March 717 – 18 June 741
"," 24 years
"," June 741 (age 56) Edema 
"
" Constantine V (Κωνσταντῖνος)
"," July 718, Constantinople
"," Son of Leo III
"," 18 June 741 – 14 September 775
"," 34 years
"," 14 September 775 (aged 57) Carbuncle 
"
" Artabasdos (Ἀρτάβασδος ) 
 with 
 Nikephoros (Νικηφόρος)
 
"," ?
"," Son-in-law of Leo III. Usurped throne. Proclaimed his son Nikephoros as co-emperor in 741/742
"," June 741/742 – 2 November 743
"," 1 year, 4 months
"," Unknown
"
" Leo IV the Khazar (Λέων)
"," 750, Constantinople
"," Son of Constantine V
"," 14 September 775 – 8 September 780
"," 5 years
"," 780 (age 30) Tuberculosis 
"
" Constantine VI (Κωνσταντῖνος)
"," 771, Constantinople
"," Son of Leo IV
"," 8 September 780 – August 797
"," 17 years
"," 797 (age 26) After blinding by Irene
"
" Irene of Athens (Εἰρήνη)
"," c.  752, Athens
"," Regent  during minority of Constantine VI. Seized throne from son in 797. First Byzantine  empress regnant .
"," August 797 – 31 October 802
"," 5 years
"," 9 August 803 (aged 51)
"
" Nikephoros I (Νικηφόρος)
"," ?
"," Rebellion
"," 31 October 802 – 26 July 811
"," 9 years
"," 26 July 811 After the  Battle of Pliska 
"
" Staurakios (Σταυράκιος)
"," After 778
"," Son of Nikephoros I
"," 26 July 811 – 2 October 811
"," 4 months
"," January 11 812 (age ~30)
 Gangrene 
 
"
" Michael I Rangabe (Μιχαὴλ Ῥαγγαβέ)
 
 with 
 Theophylact 
 (Θεοφύλακτος) 
 
"," c. 770
"," Son-in-law of Nikephoros I, appointed his son Theophylact (born c. 793) as co-emperor on 25 December 811
"," 2 October 811 – 22 June 813
"," 1 year, 8 months
"," January 11 844 (age ~74)
 In a monastery on  Prote Island , Theophylact died in a monastery on  Plate Island  on January 15 849
 
"
" Leo V the Armenian (Λέων)
 
 with 
 Constantine 
 (Κωνσταντῖνος) 
 
"," c. 775
"," Rebellion, appointed his son Symbatios as co-emperor under the name Constantine on Christmas 813
"," 11 July 813 – 25 December 820
"," 7 years
"," 25 December 820 (age ~45) Murdered by successor's conspirators, Constantine died in exile in monastery on  Prote Island  at a later date
"
" Michael II (Μιχαὴλ)
"," c. 775
"," Chosen after murder of predecessor
"," 25 December 820 – 2 October 829
"," 9 years
"," 2 October 829 (age ~54)
"
" Theophilos (Θεόφιλος)
"," 805
"," Only son of Michael II and co-emperor since 821
"," 2 October 829 – 20 January 842
"," 13 years
"," 20 January 842 (age 37)
 Unknown disease
 
"
" Michael III (Μιχαὴλ)
"," 19 January 840, Constantinople
"," Son of Theophilos
"," 20 January 842 – 23 September 867
"," 25 years
"," 23 September 867
 Assassinated by successor
 
"
" Basil I the Macedonian (Βασίλειος)
"," 811,  Macedonia 
"," Previous co-emperor, full emperor upon death of predecessor.
"," 867 – 29 August 886
"," 19 years
"," 29 August 886 (age 75)
"
" Leo VI the Wise (Λέων
"," 19 September 866, Constantinople
"," Son of Basil I (potentially in reality the son of Michael III), co-emperor since 870.
"," 886 – 11 May 912
"," 26 years
"," 11 May 912 (age 45)
"
" Alexander (Ἀλέξανδρος)
"," 23 November 870
"," Son of Basil I, co-emperor since 879.
"," 11 May 912 – 6 June 913
"," 1 year, 1 month
"," 6 June 913 (age 42)
 Exhaustion after a game of  tzykanion 
 
"
" Constantine VII (Κωνσταντῖνος)
"," 17/18 May 905
"," Son of Leo VI, co-emperor since 908.
"," 6 June 913 – 9 November 959
"," 46 years
"," 9 November 959 (age 54), Constantinople
 Possibly poisoned by his son Romanos II
 
"
" Romanos I Lekapenos (Ῥωμανὸς Λεκαπηνός)
 
 with 
 Christopher Lekapenos 
 (Χριστόφορος Λακαπηνός)
 and 
 Stephen Lekapenos 
 (Στέφανος Λακαπηνός)
 and 
 Constantine Lekapenos 
 (Κωνσταντίνος Λακαπηνός)
 
"," c. 870, Lakape
"," Regent for the young Constantine VII, crowned himself senior emperor during Constantine VII's minority. Proclaimed his three sons Christopher, Stephen and Constantine as co-emperors. Was overthrown by Stephen in 944, who briefly ruled as senior emperor (for a few weeks) until he himself was overthrown by Constantine VII.
"," 17 December 920 – 16 December 944
 20 May 921 – August 931 (Christopher) 
 924–945 (Stephen & Constantine) 
 
"," 24 years
 10 years (Christopher) 
 21 years (Stephen & Constantine) 
 
"," 15 June 948 (age 77-78)
 In a monastery as a monk after having been overthrown. Christopher died in August of 931. Both Stephen and Constantine died in exile as monks; Stephen on Easter 963 on  Lesbos  and Constantine in 946-948 on  Samothrace  trying to escape exile and reclaim imperial power
 
"
" Romanos II (Ῥωμανὸς ὁ Πορφυρογέννητος)
"," c. 938
"," Son of Constantine VII
"," 9 November 959 – 15 March 963
"," 4 years
"," 15 March 963 (age 24-25)
 Possibly poisoned
 
"
" Nikephoros II Phokas (Νικηφόρος Φωκᾶς)
"," c. 912
"," Chosen by the army, acted as senior emperor during the regency of young emperors Basil II and Constantine VIII
"," 16 August 963 – 11 December 969
"," 6 years
"," 11 December 969 (age 56-57), Constantinople
 Assassinated by successor John I Tzimiskes
 
"
" John I Tzimiskes (Ἰωάννης Τζιμισκής)
"," c. 925
"," Nephew of Nikephoros II Phokas, succeeded as senior emperor and regent for the young emperors Basil II and Constantine VIII
"," 11 December 969 – 10 January 976
"," 7 years
"," 10 January 976 (age 50-51), Constantinople
 Poisoned by Imperial chamberlain Basil Lekapenos
 
"
" Basil II (Βασίλειος)
"," 958, Constantinople
"," Eldest son of Romanos II
"," 10 January 976 – 15 December 1025
"," 49 years
"," 15 December 1025 (age 67-68), Constantinople
"
" Constantine VIII (Κωνσταντῖνος ὁ Πορφυρογέννητος)
"," 960, Constantinople
"," Second son of Romanos II, co-emperor since 962.
"," 15 December 1025 – 15 November 1028
"," 3 years
"," 15 November 1028 (age 68), Constantinople
"
" Zoe Porphyrogenita (Ζωὴ ἡ Πορφυρογέννητη)
"," c. 978, Constantinople
"," Daughter of Constantine VIII, succeeded on her father's death along with her sister Theodora. Her three husbands, Romanos III (1028–1034), Michael IV (1034–1041) and Constantine IX (1042–1050) ruled alongside her.
"," 15 November 1028 – June 1050
"," 22 years
"," June 1050 (age 72), Constantinople
"
" Romanos III Argyros (Ῥωμανὸς Ἀργυρός)
"," 968
"," Chosen by Constantine VIII to marry his daughter Zoe and succeed him as emperor.
"," 15 November 1028 – 11 April 1034
"," 6 years
"," 11 April 1034 (age 65-66), Constantinople
 Allegedly murdered
 
"
" Michael IV the Paphlagonian (Μιχαὴλ ὁ Παφλαγών)
"," 1010
"," Succeeded Romanos III as Zoe's husband and emperor.
"," 11 April 1034 – 10 December 1041
"," 7 years
"," 10 December 1041 (age 31), Constantinople
 Died after a long illness.
 
"
" Michael V Kalaphates (Μιχαὴλ ὁ Καλαφάτης)
"," 1015
"," Nephew and adopted son of Michael IV.
"," 10 December 1041 – 20 April 1042
"," 5 months
"," 24 August, 1042 (age 27), Constantinople
 Deposed, blinded, castrated and tonsured after attempting to sideline Zoe and her sister Theodora.
 
"
" Theodora Porphyrogenita (Θεοδώρα ἡ Πορφυρογέννητος)
"," c. 980
"," Younger sister of Zoe, raised to co-empress in 1042.
"," 19 April 1042 – 31 August 1056
"," 14 years
"," 31 August 1056 (age 75-76), Constantinople
 Died after sudden illness.
 
"
" Constantine IX Monomachos (Κωνσταντῖνος Μονομάχος)
"," c. 1000
"," Zoe's third husband
"," 11 June 1042 – 11 January 1055
"," 13 years
"," 11 January 1055 (age ~55), Constantinople
 Died after illness.
 
"
" Michael VI Bringas (Μιχαὴλ Βρίγγας)
"," ?
"," Chosen as successor by Empress Theodora
"," September 1056 – 31 August 1057
"," 1 year
"," 1059, confined to a monastery after having been deposed by successor.
"
" Isaac I Komnenos (Ἰσαάκιος Κομνηνός)
"," c. 1005
"," Rebellion
"," 5 June 1057 – 22 November 1059
"," 2 years
"," c. 1061 after having voluntarily abdicated.
"
" Constantine X Doukas (Κωνσταντῖνος Δούκας)
"," 1006
"," Chosen successor of Isaac I Komnenos
"," 24 November 1059 – 22 May 1067
"," 8 years
"," 22 May 1067 (aged 61)
"
" Michael VII Doukas (Μιχαὴλ Δούκας)
 
 with 
 Andronikos Doukas 
 (Ἀνδρόνικος Δούκας)
 and 
 Konstantios Doukas 
 (Κωνστάντιος Δούκας)
 and 
 Constantine Doukas 
 (Κωνσταντίνος Δούκας)
 
"," 1050
"," Son of Constantine X Doukas and co-emperor since 1059, resigned the throne in 1078. Reigned alongside his brothers Andronikos and Konstantios as co-emperors. Andronikos died in the 1070s while Konstantios briefly succeeded Michael as senior emperor before being handed over to the usurper Nikephoros III and exiled. Michael's son Constantine was also raised to co-emperor in 1074.
"," 22 May 1067 – 31 March 1078
 1068 – 1070s (Andronikos) 
 1060–1078 (Konstantios) 
 1074–1078 (Constantine) 
 
"," 11 years
 18 years (Konstantios) 
 4 years (Constantine) 
 
"," 1090 (aged ~40), Constantinople, Konstantios died in the  Battle of Dyrrhachium  on 18 October 1081, having been recalled as a general by Alexios I. Constantine was later raised to co-emperor again under Alexios I and died in 1095
"
" Romanos IV Diogenes (Ῥωμανὸς Διογένης)
"," 1032
"," Married to Constantine X's widow and senior emperor as guardian of her sons by Constantine X
"," 1 January 1068 – 24 October 1071
"," 3 years
"," 1072 (age 42), after having been deposed, blinded and exiled
"
" Nikephoros III Botaneiates (Νικηφόρος Βοτανειάτης)
"," 1001
"," Rebellion
"," 31 March 1078 – 4 April 1081
"," 3 years
"," 10 December 1081 (age 80), after having been deposed and exiled to a monastery
"
" Alexios I Komnenos (Ἀλέξιος Κομνηνός)
 
 with 
 Constantine Doukas 
 (Κωνσταντίνος Δούκας)
 (second co-emperorship) 
 
"," 1056
"," Rebellion, nephew of Isaac I Komnenos, appointed Constantine Doukas (a previous co-emperor under Michael VII) as co-emperor in 1081. Replaced Constantine with his own son John II in 1087.
"," 4 April 1081 – 15 August 1118
 1081 – 1087 (Constantine) 
 
"," 37 years
 6 years (Constantine, 2nd co-emperorship) 
 
"," 15 August 1118 (age 70)
"
" John II Komnenos (Ἰωάννης Κομνηνός)
 
 with 
 Alexios Komnenos 
 (Ἀλέξιος Κομνηνός)
 
"," 13 September 1087, Constantinople
"," Son of Alexios I, co-emperor since 1087, appointed his son Alexios co-emperor in 1122
"," 15 August 1118 – 8 April 1143
 1122 – 1142 (Alexios) 
 
"," 25 years
 20 years (Alexios) 
 
"," 8 April 1143 (age 55),  Cilicia 
 Accidentally cut himself on a poisoned arrow. Alexios died in  Attaleia  on 2 August 1142 of a fever
 
"
" Manuel I Komnenos (Μανουὴλ Κομνηνός)
"," 28 November, 1118, Constantinople
"," Son of John II
"," 1143 – 24 September 1180
"," 37 years
"," 24 September 1180 (age 61)
"
" Alexios II Komnenos (Ἀλέξιος Κομνηνός)
"," 14 September 1169, Constantinople
"," Son of Manuel I
"," 24 September 1180 – October 1183
"," 3 years
"," October 1183 (age 14), Constantinople
 Deposed and killed by successor
 
"
" Andronikos I Komnenos (Ἀνδρόνικος Κομνηνός)
 
 with 
 John Komnenos 
 (Ἰωάννης Κομνηνός)
 
"," c. 1118
"," Nephew of John II (son of his brother Isaac), uncle of Alexios II, appointed his son John as co-emperor in November 1183
"," October 1183 – 12 September 1185
"," 2 years
"," 12 September 1185 (age 66-67), Constantinople
 Overthrown and lynched in a popular uprising, John also seized and probably killed
 
"
" Isaac II Angelos (Ἰσαάκιος Ἄγγελος)
"," September 1156
"," Rebellion
"," 1185–1195
"," 10 years
"," 25 January 1204 (age 47), Constantinople
 Possibly shock or poison
 
"
" Alexios III Angelos (Ἀλέξιος Ἄγγελος)
"," c. 1153
"," Rebellion, elder brother of Isaac II
"," 1195 – 17/18 July 1203
"," 8 years
"," 1211 (age 58), in captivity in the  Empire of Nicaea 
"
" Isaac II Angelos (Ἰσαάκιος Ἄγγελος)
 (second reign) 
 
"," September 1156
"," Restored to the throne by the  Fourth Crusade  alongside his son Alexios IV
"," 18 July 1203 – 27/28 January 1204
"," 6 months
"," 25 January 1204 (age 47), Constantinople
 Possibly shock or poison
 
"
" Alexios IV Angelos (Ἀλέξιος Ἄγγελος)
"," c. 1182
"," Raised to the throne by the  Fourth Crusade  alongside his father Isaac II
"," 1 August 1203 – 27/28 January 1204
"," 6 months
"," 8 February 1204 (age 21-22), Constantinople
 Strangled by successor
 
"
" Alexios V Doukas (Ἀλέξιος Δούκας ὁ Μούρτζουφλος)
"," c. 1140
"," Coup in the Imperial Palace, son-in-law of Alexios III
"," 5 February 1204 – 13 April 1204
"," 5 months
"," December 1204 (age 64), Constantinople
 Captured by crusaders of the newly founded  Latin Empire  and publicly executed
 
"
" Theodore I Laskaris (Θεόδωρος Λάσκαρις)
"," c. 1174, Constantinople
"," His brother  Constantine Laskaris  was elected emperor by the citizens of Constantinople on the day the city fell to the Crusaders; he later fled to  Nicaea , where Theodore organized the Greek resistance to the Latins. Proclaimed emperor after Constantine's death in 1205, Theodore was crowned only in 1208.
"," 1205– November 1221
"," 21 years
"," November 1221 (age 48)
"
" John III Doukas Vatatzes (Ἰωάννης Δούκας Βατάτζης)
"," c. 1192,  Didymoteicho 
"," Son-in-law of Theodore I
"," 15 December 1221 – 3 November 1254
"," 33 years
"," 3 November 1254 (age 62),  Nymphaion 
"
" Theodore II Laskaris (Θεόδωρος Λάσκαρις)
"," c. 1222,  Nicaea 
"," Son of John III
"," 3 November 1254– 18 August 1258
"," 4 years
"," 18 August 1258 (age 36),  Magnesia 
 Epilepsy 
 
"
" John IV Laskaris (Ἰωάννης Λάσκαρις)
"," 25 December 1250
"," Son of Theodore II
"," 18 August 1258– 25 December 1261
"," 3 years
"," c. 1305 (age 55), Constantinople
 Blinded and imprisoned by successor in 1261, died in captivity
 
"
